Date,"Flu","Influenza"
2018-02-11,196,7094
2018-02-12,265,9245
2018-02-13,256,8774
2018-02-14,218,7890
2018-02-15,202,7111
2018-02-16,176,6649
2018-02-17,204,5870
2018-02-18,173,5533
2018-02-19,203,6943
2018-02-20,158,6753
2018-02-21,147,6439
2018-02-22,155,6079
2018-02-23,130,5438
2018-02-24,120,4746
2018-02-25,129,4785
2018-02-26,160,5946
2018-02-27,157,5795
2018-02-28,139,5567
2018-03-01,138,5205
2018-03-02,115,4727
2018-03-03,105,3814
2018-03-04,146,4312
2018-03-05,134,5272
2018-03-06,114,6287
2018-03-07,99,5192
2018-03-08,135,4927
2018-03-09,112,4519
2018-03-10,76,3600
2018-03-11,93,4029
2018-03-12,102,5371
2018-03-13,111,4880
2018-03-14,117,4570
2018-03-15,77,4396
2018-03-16,95,3951
2018-03-17,71,3101
2018-03-18,92,3363
2018-03-19,106,4326
2018-03-20,110,4484
2018-03-21,107,4315
2018-03-22,111,4294
2018-03-23,80,3867
2018-03-24,79,2987
2018-03-25,98,3040
2018-03-26,115,4095
2018-03-27,89,3945
2018-03-28,110,4012
2018-03-29,106,3592
2018-03-30,99,3471
2018-03-31,73,2564
2018-04-01,69,2831
2018-04-02,93,3667
2018-04-03,98,3842
2018-04-04,91,3716
2018-04-05,99,3601
2018-04-06,66,3082
2018-04-07,76,2537
2018-04-08,70,2727
2018-04-09,81,3501
2018-04-10,85,3460
2018-04-11,84,3689
2018-04-12,72,3568
2018-04-13,78,3044
2018-04-14,62,2332
2018-04-15,76,2996
2018-04-16,72,3385
2018-04-17,74,3433
2018-04-18,78,3448
2018-04-19,73,3147
2018-04-20,58,2932
2018-04-21,58,2572
2018-04-22,59,2889
2018-04-23,79,3259
2018-04-24,80,3467
2018-04-25,87,3547
2018-04-26,85,3212
2018-04-27,74,3109
2018-04-28,50,1998
2018-04-29,61,2213
2018-04-30,67,2975
2018-05-01,82,2968
2018-05-02,65,3015
2018-05-03,77,2929
2018-05-04,78,2643
2018-05-05,68,2074
2018-05-06,68,2327
2018-05-07,47,3001
2018-05-08,69,3060
2018-05-09,74,2842
2018-05-10,81,2828
2018-05-11,50,2429
2018-05-12,41,2127
2018-05-13,56,2129
2018-05-14,72,2995
2018-05-15,67,2817
2018-05-16,61,2908
2018-05-17,87,2796
2018-05-18,69,2448
2018-05-19,56,2020
2018-05-20,41,2154
2018-05-21,61,2924
2018-05-22,79,3163
2018-05-23,59,3092
2018-05-24,56,2763
2018-05-25,51,2463
2018-05-26,40,2026
2018-05-27,69,2173
2018-05-28,82,2626
2018-05-29,78,2721
2018-05-30,66,2819
2018-05-31,87,2553
2018-06-01,63,2333
2018-06-02,49,1858
2018-06-03,51,2186
2018-06-04,66,2814
2018-06-05,81,2990
2018-06-06,87,2809
2018-06-07,74,2694
2018-06-08,60,2289
2018-06-09,48,1932
2018-06-10,58,2169
2018-06-11,54,2706
2018-06-12,59,2364
2018-06-13,65,2532
2018-06-14,59,2292
2018-06-15,68,2094
2018-06-16,41,1704
2018-06-17,58,2159
2018-06-18,55,2708
2018-06-19,65,2612
2018-06-20,51,2560
2018-06-21,56,2479
2018-06-22,51,1964
2018-06-23,58,1786
2018-06-24,44,1922
2018-06-25,74,2450
2018-06-26,45,2369
2018-06-27,52,2425
2018-06-28,70,2332
2018-06-29,53,2118
2018-06-30,57,1690
2018-07-01,49,1893
2018-07-02,68,2299
2018-07-03,59,2194
2018-07-04,62,2283
2018-07-05,62,2102
2018-07-06,52,1784
2018-07-07,69,1790
2018-07-08,53,1970
2018-07-09,57,2188
2018-07-10,57,2278
2018-07-11,44,2244
2018-07-12,72,2207
2018-07-13,56,1925
2018-07-14,38,1812
2018-07-15,50,1981
2018-07-16,58,2296
2018-07-17,50,2207
2018-07-18,60,2191
2018-07-19,59,2120
2018-07-20,45,1961
2018-07-21,69,1924
2018-07-22,63,2290
2018-07-23,100,2550
2018-07-24,62,2376
2018-07-25,60,3084
2018-07-26,50,2178
2018-07-27,49,1695
2018-07-28,75,1610
2018-07-29,63,1864
2018-07-30,71,2147
2018-07-31,70,2128
2018-08-01,64,2194
2018-08-02,63,2182
2018-08-03,64,1856
2018-08-04,62,1632
2018-08-05,60,1764
2018-08-06,64,2211
2018-08-07,76,2301
2018-08-08,71,1890
2018-08-09,49,2032
2018-08-10,56,1780
2018-08-11,50,1560
2018-08-12,48,1856
2018-08-13,51,2054
2018-08-14,72,2054
2018-08-15,52,1999
2018-08-16,50,1966
2018-08-17,60,1842
2018-08-18,39,1562
2018-08-19,51,1843
2018-08-20,63,2287
2018-08-21,64,2035
2018-08-22,59,2037
2018-08-23,53,1911
2018-08-24,64,1960
2018-08-25,34,1679
2018-08-26,62,1774
2018-08-27,68,2305
2018-08-28,67,2171
2018-08-29,87,2329
2018-08-30,50,2314
2018-08-31,53,2018
2018-09-01,44,1640
2018-09-02,56,1819
2018-09-03,60,2109
