Week,Average Page Visits per Day
2021-09-29,499.2857142857143
2021-10-06,470.2857142857143
2021-10-13,473.85714285714283
2021-10-20,462.42857142857144
2021-10-27,473.42857142857144
2021-11-03,523.2857142857143
2021-11-10,586.0
2021-11-17,751.1428571428571
2021-11-24,941.2857142857143
2021-12-01,1053.4285714285713
2021-12-08,1294.7142857142858
2021-12-15,1959.2857142857142
2021-12-22,1964.7142857142858
2021-12-29,1855.142857142857
2022-01-05,1668.142857142857
2022-01-12,1237.857142857143
2022-01-19,922.7142857142857
2022-01-26,771.8571428571429
2022-02-02,691.7142857142857
2022-02-09,691.4285714285714
2022-02-16,726.4285714285714
2022-02-23,665.1428571428571
2022-03-02,872.8571428571429
2022-03-09,1024.7142857142858
2022-03-16,1218.5714285714287
2022-03-23,1162.5714285714287
2022-03-30,1192.5714285714287
2022-04-06,1295.142857142857
2022-04-13,1220.2857142857142
2022-04-20,1317.5714285714287
2022-04-27,1308.142857142857
2022-05-04,1312.4285714285713
2022-05-11,1450.2857142857142
2022-05-18,1471.5714285714287
2022-05-25,1430.857142857143
2022-06-01,1359.0
2022-06-08,1324.5714285714287
2022-06-15,1234.5714285714287
2022-06-22,1229.4285714285713
2022-06-29,1040.857142857143
2022-07-06,886.7142857142857
2022-07-13,908.4285714285714
2022-07-20,792.0
2022-07-27,657.0
2022-08-03,568.5714285714286
2022-08-10,526.0
2022-08-17,446.2857142857143
2022-08-24,447.7142857142857
2022-08-31,442.0
2022-09-07,447.57142857142856
2022-09-14,486.7142857142857
2022-09-21,485.7142857142857
2022-09-28,481.85714285714283
2022-10-05,514.0
2022-10-12,629.1428571428571
2022-10-19,764.8571428571429
2022-10-26,861.2857142857143
2022-11-02,1118.857142857143
2022-11-09,1231.4285714285713
2022-11-16,1546.4285714285713
2022-11-23,1952.142857142857
2022-11-30,2241.5714285714284
2022-12-07,2582.4285714285716
2022-12-14,2620.1428571428573
2022-12-21,2453.714285714286
2022-12-28,1990.0
2023-01-04,1421.4285714285713
2023-01-11,959.8571428571429
2023-01-18,801.5714285714286
2023-01-25,688.5714285714286
2023-02-01,708.1428571428571
2023-02-08,736.5714285714286
2023-02-15,652.2857142857143
2023-02-22,759.5714285714286
2023-03-01,918.2857142857143
2023-03-08,1001.1428571428571
2023-03-15,781.1428571428571
2023-03-22,628.1428571428571
2023-03-29,559.1428571428571
2023-04-05,494.57142857142856
2023-04-12,558.5714285714286
2023-04-19,503.85714285714283
2023-04-26,425.57142857142856
2023-05-03,434.2857142857143
2023-05-10,444.42857142857144
2023-05-17,467.85714285714283
2023-05-24,480.0
2023-05-31,451.7142857142857
2023-06-07,413.57142857142856
2023-06-14,411.7142857142857
2023-06-21,379.7142857142857
2023-06-28,356.0
2023-07-05,373.57142857142856
2023-07-12,394.57142857142856
2023-07-19,436.7142857142857
2023-07-26,451.42857142857144
2023-08-02,420.0
2023-08-09,404.57142857142856
2023-08-16,559.0
2023-08-23,551.4285714285714
2023-08-30,533.4285714285714
2023-09-06,985.0
2023-09-13,1108.5714285714287
2023-09-20,1145.5714285714287
2023-09-27,1171.4285714285713
2023-10-04,1557.4285714285713
2023-10-11,1291.7142857142858
2023-10-18,1204.142857142857
2023-10-25,1192.0
2023-11-01,1387.857142857143
2023-11-08,1500.7142857142858
2023-11-15,1721.2857142857142
2023-11-22,2031.857142857143
2023-11-29,2247.8571428571427
2023-12-06,2472.8571428571427
2023-12-13,3690.5714285714284
2023-12-20,4786.428571428572
2023-12-27,5230.571428571428
2024-01-03,4811.857142857143
2024-01-10,3978.285714285714
2024-01-17,4059.285714285714
2024-01-24,4924.0
2024-01-31,5077.285714285715
2024-02-07,4464.285714285715
2024-02-14,4125.571428571428
2024-02-21,3478.714285714286
2024-02-28,3031.0
2024-03-06,2510.0
2024-03-13,2175.5714285714284
2024-03-20,1886.4285714285713
2024-03-27,1684.142857142857
2024-04-03,1554.142857142857
2024-04-10,1337.0
2024-04-17,1412.2857142857142
2024-04-24,1501.5714285714287
2024-05-01,4690.571428571428
2024-05-08,2462.5714285714284
2024-05-15,1650.7142857142858
2024-05-22,1615.0
2024-05-29,1434.0
2024-06-05,1690.2857142857142
2024-06-12,1655.142857142857
2024-06-19,1843.7142857142858
2024-06-26,1930.857142857143
2024-07-03,2074.0
2024-07-10,1994.7142857142858
2024-07-17,2170.4285714285716
2024-07-24,1952.857142857143
2024-07-31,1941.0
2024-08-07,1877.4285714285713
2024-08-14,1684.857142857143
2024-08-21,1474.7142857142858
2024-08-28,1330.4285714285713
2024-09-04,1261.4285714285713
2024-09-11,1117.7142857142858
2024-09-18,1125.857142857143
2024-09-25,1045.5714285714287
2024-10-02,985.1428571428571
2024-10-09,950.0
2024-10-16,1024.5714285714287
2024-10-23,962.0
2024-10-30,977.2857142857143
2024-11-06,1111.5714285714287
2024-11-13,1277.2857142857142
2024-11-20,1404.142857142857
2024-11-27,1627.857142857143
2024-12-04,1860.142857142857
2024-12-11,3187.285714285714
2024-12-18,4726.285714285715
2024-12-25,6022.857142857143
2025-01-01,6405.714285714285
2025-01-08,5828.0
2025-01-15,6346.285714285715
2025-01-22,7343.0
2025-01-29,7941.857142857143
